Saat,Sebeke_TL_per_kWh,Solar_TL_per_kWh,Ruzgar_TL_per_kWh,Zaman_Dilimi
00,2.5,0.20,0.50,Gece
01,2.5,0.20,0.50,Gece
02,2.5,0.20,0.50,Gece
03,2.5,0.20,0.50,Gece
04,2.5,0.20,0.50,Gece
05,2.5,0.20,0.50,Gece
06,2.5,0.20,0.50,Gece
07,3.3,0.20,0.50,Gündüz
08,3.3,0.20,0.50,Gündüz
09,3.3,0.20,0.50,Gündüz
10,3.3,0.20,0.50,Gündüz
11,3.3,0.20,0.50,Gündüz
12,3.3,0.20,0.50,Gündüz
13,3.3,0.20,0.50,Gündüz
14,3.3,0.20,0.50,Gündüz
15,3.3,0.20,0.50,Gündüz
16,3.3,0.20,0.50,Gündüz
17,3.3,0.20,0.50,Gündüz
18,5.0,0.20,0.50,Puant
19,5.0,0.20,0.50,Puant
20,5.0,0.20,0.50,Puant
21,5.0,0.20,0.50,Puant
22,5.0,0.20,0.50,Puant
23,2.5,0.20,0.50,Gece
