YEAR,MO,DY,HR,solar,wind,home_consumption
2025,1,1,0,,1.49,2.55014
2025,1,1,1,,1.18,2.5234
2025,1,1,2,,0.93,2.58233
2025,1,1,3,,0.72,2.54167
2025,1,1,4,,0.75,2.47573
2025,1,1,5,,1.02,2.47623
2025,1,1,6,,1.35,2.4558
2025,1,1,7,,1.74,2.4472
2025,1,1,8,,2.15,2.44173
2025,1,1,9,,2.38,3.14613
2025,1,1,10,,2.44,2.66173
2025,1,1,11,,2.33,2.576
2025,1,1,12,,2.06,2.61587
2025,1,1,13,,1.56,2.1624
2025,1,1,14,,1.19,1.2944
2025,1,1,15,,1.0,1.90917
2025,1,1,16,,0.94,1.3901
2025,1,1,17,,1.14,1.63207
2025,1,1,18,,1.56,1.4619
2025,1,1,19,,2.13,0.7323
2025,1,1,20,,2.66,0.4123
2025,1,1,21,,3.03,0.43393
2025,1,1,22,,3.32,0.44373
2025,1,1,23,,3.54,0.44997
2025,1,2,0,,3.77,0.44643
2025,1,2,1,,4.09,0.43673
2025,1,2,2,,4.34,0.43157
2025,1,2,3,,4.49,0.46417
2025,1,2,4,,4.65,1.03997
2025,1,2,5,,4.82,0.7106
2025,1,2,6,,4.72,0.44697
2025,1,2,7,,5.79,0.41257
2025,1,2,8,,6.36,0.4544
2025,1,2,9,,6.88,0.41763
2025,1,2,10,,7.16,0.4459
2025,1,2,11,,7.08,0.43277
2025,1,2,12,,6.6,0.42597
2025,1,2,13,,5.0,0.459
2025,1,2,14,,3.89,0.43843
2025,1,2,15,,4.0,1.4381
2025,1,2,16,,4.21,1.45907
2025,1,2,17,,4.6,2.1362
2025,1,2,18,,5.11,1.97207
2025,1,2,19,,5.48,1.5183
2025,1,2,20,,5.64,2.57353
2025,1,2,21,,5.8,1.32143
2025,1,2,22,,6.01,0.52823
2025,1,2,23,,5.99,0.7439
2025,1,3,0,,5.98,1.12543
2025,1,3,1,,6.21,0.9007
2025,1,3,2,,6.7,0.30483
2025,1,3,3,,6.97,0.3333
2025,1,3,4,,6.87,0.29883
2025,1,3,5,,7.03,0.95163
2025,1,3,6,,7.96,0.33433
2025,1,3,7,,8.55,0.3017
2025,1,3,8,,9.22,0.3196
2025,1,3,9,,10.12,0.6025
2025,1,3,10,,10.44,0.87423
2025,1,3,11,,10.27,0.9764
2025,1,3,12,,9.74,1.39777
2025,1,3,13,,8.64,1.41993
2025,1,3,14,,7.61,1.09037
2025,1,3,15,,7.18,0.302
2025,1,3,16,,6.8,0.36767
2025,1,3,17,,6.63,0.28513
2025,1,3,18,,6.45,0.3612
2025,1,3,19,,6.42,0.289
2025,1,3,20,,6.42,0.32627
2025,1,3,21,,6.44,1.11543
2025,1,3,22,,6.5,0.95403
2025,1,3,23,,6.59,1.6686
2025,1,4,0,,6.94,3.37507
2025,1,4,1,,6.72,2.89673
2025,1,4,2,,6.35,2.38733
2025,1,4,3,,6.09,2.36203
2025,1,4,4,,5.75,2.37003
2025,1,4,5,,5.35,2.3452
2025,1,4,6,,4.52,2.35873
2025,1,4,7,,3.58,2.32623
2025,1,4,8,,4.79,2.4038
2025,1,4,9,,6.81,2.66707
2025,1,4,10,,7.02,1.89803
2025,1,4,11,,6.64,2.00633
2025,1,4,12,,6.53,4.06657
2025,1,4,13,,6.6,3.54507
2025,1,4,14,,6.62,2.0132
2025,1,4,15,,6.59,0.8793
2025,1,4,16,,6.31,3.2898
2025,1,4,17,,5.84,2.7413
2025,1,4,18,,5.53,2.6055
2025,1,4,19,,5.28,2.85407
2025,1,4,20,,5.14,1.49853
2025,1,4,21,,5.09,0.4788
2025,1,4,22,,5.06,0.41967
2025,1,4,23,,5.01,0.53513
2025,1,5,0,,4.96,1.96803
2025,1,5,1,,4.91,2.38683
2025,1,5,2,,4.81,2.39473
2025,1,5,3,,4.64,2.4157
2025,1,5,4,,4.47,2.39703
2025,1,5,5,,4.16,2.40737
2025,1,5,6,,3.64,2.3678
2025,1,5,7,,3.61,2.35153
2025,1,5,8,,3.55,2.31693
2025,1,5,9,,3.05,2.3642
2025,1,5,10,,2.79,2.65603
2025,1,5,11,,2.82,0.35583
2025,1,5,12,,2.9,0.3544
2025,1,5,13,,2.79,0.34177
2025,1,5,14,,2.56,0.37733
2025,1,5,15,,2.66,0.47783
2025,1,5,16,,2.43,0.8365
2025,1,5,17,,2.01,2.24073
2025,1,5,18,,1.53,2.3996
2025,1,5,19,,1.27,2.0389
2025,1,5,20,,1.43,2.9757
2025,1,5,21,,1.74,2.6744
2025,1,5,22,,1.92,2.3847
2025,1,5,23,,1.99,1.73883
2025,1,6,0,,2.03,1.49307
2025,1,6,1,,2.04,0.43347
2025,1,6,2,,2.05,0.33333
2025,1,6,3,,2.22,0.31287
2025,1,6,4,,2.64,0.30357
2025,1,6,5,,3.21,0.33527
2025,1,6,6,,3.56,0.29873
2025,1,6,7,,4.96,0.337
2025,1,6,8,,5.71,0.2954
2025,1,6,9,,5.99,0.62313
2025,1,6,10,,6.06,1.52557
2025,1,6,11,,5.97,2.5922
2025,1,6,12,,5.63,4.00293
2025,1,6,13,,4.85,1.89043
2025,1,6,14,,3.24,1.69957
2025,1,6,15,,2.92,1.1487
2025,1,6,16,,2.62,0.88127
2025,1,6,17,,2.62,0.89897
2025,1,6,18,,2.97,0.85553
2025,1,6,19,,3.46,1.83403
2025,1,6,20,,3.88,1.01513
2025,1,6,21,,4.33,1.01253
2025,1,6,22,,4.76,0.51167
2025,1,6,23,,5.07,0.50527
2025,1,7,0,,5.26,0.9032
2025,1,7,1,,5.47,0.29643
2025,1,7,2,,5.43,0.3524
2025,1,7,3,,5.34,0.29867
2025,1,7,4,,5.56,0.35587
2025,1,7,5,,5.75,0.28537
2025,1,7,6,,6.37,0.3383
2025,1,7,7,,7.19,0.31273
2025,1,7,8,,7.65,0.31003
2025,1,7,9,,8.62,0.3756
2025,1,7,10,,8.87,1.04143
