Saat,Pazartesi,Salı,Çarşamba,Perşembe,Cuma,Durum_Açıklama,Günlük_km,Günlük_tüketim_kWh
0,Evde,Evde,Evde,Evde,Evde,Gece - Şarj fırsatı,40,5.68
1,Evde,Evde,Evde,Evde,Evde,Gece - Şarj fırsatı,40,5.68
2,Evde,Evde,Evde,Evde,Evde,Gece - Şarj fırsatı,40,5.68
3,Evde,Evde,Evde,Evde,Evde,Gece - Şarj fırsatı,40,5.68
4,Evde,Evde,Evde,Evde,Evde,Gece - Şarj fırsatı,40,5.68
5,Evde,Evde,Evde,Evde,Evde,Gece - Şarj fırsatı,40,5.68
6,Evde,Evde,Evde,Evde,Evde,Sabah çıkış hazırlık,40,5.68
7,Dışarıda,Dışarıda,Dışarıda,Dışarıda,Dışarıda,Çıkış başlangıç (40km gidiş),40,5.68
8,Dışarıda,Dışarıda,Dışarıda,Dışarıda,Dışarıda,Gidişte,40,5.68
9,Dışarıda,Dışarıda,Dışarıda,Dışarıda,Dışarıda,Gidişte,40,5.68
10,Dışarıda,Dışarıda,Dışarıda,Dışarıda,Dışarıda,İşte,40,5.68
11,Dışarıda,Dışarıda,Dışarıda,Dışarıda,Dışarıda,İşte,40,5.68
12,Dışarıda,Dışarıda,Dışarıda,Dışarıda,Dışarıda,İşte,40,5.68
13,Dışarıda,Dışarıda,Dışarıda,Dışarıda,Dışarıda,İşte,40,5.68
14,Dışarıda,Dışarıda,Dışarıda,Dışarıda,Dışarıda,İşte,40,5.68
15,Dışarıda,Dışarıda,Dışarıda,Dışarıda,Dışarıda,İşte,40,5.68
16,Dışarıda,Dışarıda,Dışarıda,Dışarıda,Dışarıda,İşte,40,5.68
17,Dışarıda,Dışarıda,Dışarıda,Dışarıda,Dışarıda,Dönüş başlangıç,40,5.68
18,Evde,Evde,Evde,Evde,Evde,Eve döndü (18:00 sonra),40,5.68
19,Evde,Evde,Evde,Evde,Evde,Evde - Puant saati,40,5.68
20,Evde,Evde,Evde,Evde,Evde,Evde - Puant saati,40,5.68
21,Evde,Evde,Evde,Evde,Evde,Evde - Puant saati,40,5.68
22,Evde,Evde,Evde,Evde,Evde,Evde - Puant bitti,40,5.68
23,Evde,Evde,Evde,Evde,Evde,Gece - Şarj fırsatı,40,5.68
